,capacity,max_profit,max_weight,min_profit,min_weight,num,relation,sum_p,sum_w,target
2670,0.3558025726107253,0.012811579920993929,0.008749371653361707,0.00014061490157188456,0.00028122980314376913,0.0031247755904863237,1.880506628905702e-05,0.7187296335677593,0.5971446153419365,7
3151,0.29236866124100513,0.0024600201266212953,0.004163110983512961,0.00018450150949659718,0.00013719343013849532,0.002365403967905092,3.7147487618241185e-06,0.5905893318986075,0.7521274996747821,8
1590,0.3555192358059927,0.002636390038871438,0.0023965001354254475,0.00024468770151491056,4.7977980689198145e-06,0.0011994495172299535,2.8798967275106934e-06,0.718151207249159,0.5982062555261637,3
2316,0.4436550892743874,0.0017932305430853495,1.7914391039813684e-05,0.0017914391039813681,5.374317311944105e-08,8.957195519906842e-06,3.658413585276022e-06,0.8961832839171407,0.0043883988010679584,6
868,0.30551633052428256,0.021091548065550234,0.02323717859103856,4.29126105097665e-05,0.0021885431359980915,0.0010728152627441625,1.827881728656242e-05,0.6171477080462069,0.7244292343206231,2
651,0.3307420348341682,0.00659176950342139,0.007171845219722472,1.977530851026417e-05,3.955061702052834e-05,0.0013183539006842778,6.608264900983907e-06,0.6681087980192749,0.6664410803349093,1
3108,0.24765300495675077,0.0021111318945183258,0.005127034600973077,0.00015941200019832256,0.00011632767582039753,0.0021542162188962505,2.5978211446656074e-06,0.5002650156494007,0.8296791429781397,8
4505,0.023456054447833444,0.0010343501071420345,0.02179441431607752,2.087487602708445e-05,0.00043941614037012767,0.00010437438013542226,4.9536640962485556e-08,0.04738283735007764,0.9983628646151423,12
4075,0.33047608553026697,0.02585967453047442,0.025806899684493862,0.0004749736138250404,0.0004749736138250404,0.001319371149514001,2.6444911929256663e-05,0.6676018016540846,0.6661504933896192,11
1047,0.30290600588924915,0.005930022141985143,0.006523617951993666,4.748766480068183e-05,0.0006410834748092047,0.0011871916200170457,4.971389023048305e-06,0.6118785609567854,0.7305977229584899,2
4264,0.33065630339854846,0.006414064449673562,0.006401171857814922,7.09092552225218e-05,5.8016663363881466e-05,0.0012892591858640326,6.4585129687630764e-06,0.6679329527165087,0.666669478714362,11
2998,0.4029590537176346,0.02220731062445631,0.013916581324659288,0.0009475119199768026,0.0003257072224920259,0.002960974749927508,5.772651361623794e-05,0.8140015685025713,0.4175270494872779,8
1236,0.3537983865001279,0.024664801801723202,0.02241846283981763,0.0025383630269532986,0.00029202406504772463,0.001123169480952787,2.6651663777062926e-05,0.7147176675094965,0.6024007194142178,3
2057,0.4435125483249797,0.017927834451030335,0.00017910103448616206,0.017910103448616207,1.7910103448616205e-07,8.955051724308103e-06,3.180092335247728e-05,0.89589561268599,0.005045634343544158,6
194,0.3179488713842653,0.011980682110131737,0.012089817878341439,2.4252392935489343e-05,0.00014551435761293608,0.0012126196467744672,1.1170796613861213e-05,0.6422761221105643,0.6972077921094477,0
4166,0.3306569122043828,0.014040783016531277,0.014012560337101064,1.4111339715106812e-05,0.0,0.0014111339715106811,1.414361059744348e-05,0.6679461540748658,0.6664221293856343,11
736,0.32826262739028605,0.0025473625035807466,0.002759217300972733,1.0209869753830648e-05,2.552467438457662e-06,0.001276233719228831,2.515984524874498e-06,0.6630927534997237,0.6727078983403938,1
2324,0.44365475081692646,0.0017932936213586575,1.7897106171201786e-05,0.001791502119239418,3.583004238478836e-08,8.95751059619709e-06,3.5266397204457527e-06,0.8961826324802338,0.004552529355368824,6
4404,0.02344082555458559,0.0019737759497755864,0.04158843322976294,5.963069334669446e-06,0.00012522445602805837,9.938448891115743e-05,9.433623514884755e-08,0.04735273358661007,0.997734798007557,12
1872,0.3303746646453649,0.00695034936572294,0.00695034936572294,1.3914613344790671e-05,1.3914613344790671e-05,0.0013914613344790671,6.957306672395336e-06,0.6673657279361778,0.6673657279361778,5
2095,0.4435150404121706,0.017926834815499216,0.00017909104801745488,0.017909283892793504,1.6118194321570938e-06,8.954552400872743e-06,4.242154645218494e-05,0.8959006395236937,0.003782223843080629,6
1323,0.356782802419635,0.013767231318073954,0.012500696698195944,0.0014818455052572701,0.00021531088537926147,0.0012665346198780087,1.536555858525916e-05,0.7207215254415807,0.5940680634537799,3
1700,0.33033727979751826,0.013036198887037028,0.013036198887037028,0.00016947058553148136,0.00016947058553148136,0.0013036198887037029,1.3036198887037028e-05,0.6672839124307643,0.6672839124307643,5
